"x","y","X","N","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An","Labels","Zone"
41.5,27.5,236042,4,5433,4316,8,32,16,42,13,200,6080,50,88.0134223157126,"SK394AZone1b",2
41.5,28.5,235542,4,5325,4011,8,38,14,33,9,386,6230,49,81.8339532767141,"SK394AZone1b",2
41.5,29.5,235042,4,5240,4056,8,48,22,30,14,478,6396,49,82.7456782168942,"SK394AZone1a",1
41.5,3.5,248042,4,5570,4542,5,37,19,39,9,155,5877,52,92.5923075708393,"SK394AZone1b",2
41.5,30.5,234542,4,5340,4042,5,43,17,51,12,421,6366,48,82.4620304577271,"SK394AZone1a",1
41.5,31.5,234042,4,5106,3761,4,60,36,75,8,571,6651,72,76.768814720158,"SK394AZone1a",1
41.5,4.5,247542,4,5429,4528,3,36,11,39,9,133,5806,42,92.3086598116722,"SK394AZone1b",2
41.5,5.5,247042,4,5454,4434,10,34,17,42,12,139,5723,43,90.404167714407,"SK394AZone1b",2
41.5,6.5,246542,4,5491,4392,5,30,24,38,7,139,5892,41,89.5532244369056,"SK394AZone1b",2
41.5,7.5,246042,4,5629,4591,5,28,13,41,4,140,5711,51,93.5850747279243,"SK394AZone1b",2
41.5,8.5,245542,4,5583,4569,3,34,16,39,14,116,5985,49,93.1393425349473,"SK394AZone1b",2
41.5,9.5,245042,4,5563,4587,6,35,18,43,5,153,5872,48,93.5040325110194,"SK394AZone1b",2
42.5,0.5,249543,4,5708,4609,2,35,16,32,10,135,5777,46,93.9497647039963,"SK394AZone1b",2
42.5,1.5,249043,4,5593,4461,5,24,14,37,9,136,5963,52,90.9512026785151,"SK394AZone1b",2
42.5,10.5,244543,4,5562,4646,5,22,13,42,7,143,5840,40,94.6994052103666,"SK394AZone1b",2
42.5,11.5,244043,4,5485,4592,6,24,21,33,3,111,5933,57,93.6053352821505,"SK394AZone1b",2
42.5,12.5,243543,4,5591,4621,3,34,21,33,10,151,5796,44,94.192891354711,"SK394AZone1b",2
42.5,13.5,243043,4,5598,4599,4,30,21,49,8,149,5822,53,93.7471591617341,"SK394AZone1b",2
42.5,14.5,242543,4,5511,4593,3,36,11,49,3,144,5795,40,93.6255958363767,"SK394AZone1b",2
42.5,15.5,242043,4,5498,4597,5,32,18,35,8,121,5933,64,93.7066380532816,"SK394AZone1b",2
42.5,16.5,241543,4,5547,4543,11,29,12,28,10,120,5823,45,92.6125681250655,"SK394AZone1b",2
