"","x","y","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An"
"43377",126.5,76.5,4996,5946,15,60,31,29,6,51,5415,15,92
"43378",127.5,76.5,5174,6167,19,61,28,32,3,50,5450,20,95
"43379",128.5,76.5,5071,6188,16,72,27,40,2,51,5409,13,96
"43380",129.5,76.5,5101,6124,12,53,41,29,5,36,5379,21,95
"43381",130.5,76.5,5036,6092,14,72,35,25,1,40,5351,22,94
"43382",131.5,76.5,5170,6053,9,70,25,29,2,43,5435,18,94
"43383",132.5,76.5,5137,6079,9,55,38,39,2,52,5473,20,94
"43384",133.5,76.5,5154,6107,12,63,37,33,4,47,5404,20,94
"43385",134.5,76.5,5032,6069,17,70,36,25,4,52,5365,20,94
"43386",135.5,76.5,4942,6087,11,78,35,34,1,45,5329,12,94
"43387",136.5,76.5,5004,5957,11,58,34,38,3,59,5415,20,92
"43388",137.5,76.5,5222,5785,7,56,38,33,4,60,5604,22,90
"43389",138.5,76.5,4789,5992,18,81,49,32,2,63,5457,25,93
"43390",139.5,76.5,4626,5593,9,98,51,41,5,82,5417,27,87
"43391",140.5,76.5,5032,5739,14,66,50,35,5,70,5593,24,89
"43392",141.5,76.5,4916,5908,6,64,25,31,3,55,5515,16,92
"43393",142.5,76.5,5026,6026,16,61,35,47,0,48,5491,12,93
"43394",143.5,76.5,5199,6107,10,61,43,36,2,36,5441,25,94
"43395",144.5,76.5,5124,6038,12,63,27,25,2,42,5356,17,93
"43396",145.5,76.5,4892,5996,14,61,25,29,2,50,5408,15,93
"43397",146.5,76.5,5049,5985,18,70,26,25,5,55,5497,13,93
"43398",147.5,76.5,5030,5993,14,61,44,32,4,52,5444,17,93
"43399",148.5,76.5,5070,6026,17,66,46,35,3,53,5466,14,93
"43400",149.5,76.5,5041,6039,16,69,33,32,1,35,5470,26,93
"43401",150.5,76.5,4992,5983,12,61,40,34,5,49,5464,18,93
"43402",151.5,76.5,5059,5968,11,83,20,29,6,48,5467,22,92
"43403",152.5,76.5,4959,5985,9,71,31,27,3,62,5426,11,93
"43594",93.5,75.5,4861,5583,14,121,36,50,2,99,5655,15,87
"43595",94.5,75.5,4815,5701,10,84,38,32,4,95,5758,13,89
"43596",95.5,75.5,4767,5370,11,85,29,32,2,115,5704,21,84
"43597",96.5,75.5,4700,5321,14,85,41,39,2,120,5721,17,83
"43598",97.5,75.5,4745,5489,15,87,38,36,7,99,5744,20,86
"43601",100.5,75.5,4746,5364,9,82,46,36,2,129,5709,23,84
"43602",101.5,75.5,4771,5388,12,91,40,30,5,104,5631,23,84
"43603",102.5,75.5,4831,5542,13,83,44,40,2,98,5689,12,86
"43604",103.5,75.5,4873,5567,8,91,42,35,2,86,5601,12,87
"43616",115.5,75.5,4753,5873,10,109,47,50,2,47,5400,28,91
"43617",116.5,75.5,4985,5899,13,70,38,41,2,50,5463,23,91
"43618",117.5,75.5,4805,5867,10,81,54,42,4,59,5357,17,91
"43619",118.5,75.5,4997,6055,15,62,37,32,4,42,5394,28,94
"43620",119.5,75.5,4891,6007,11,66,32,39,5,45,5282,17,93
"43621",120.5,75.5,4912,5941,10,93,40,35,3,66,5444,20,92
